# This file is generated on 25-Nov-2021 at 17:05:18 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1457e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.1315e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.6704e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.8262e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.7233e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.9962e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.4855e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.1114e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.8291e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.6119e-01
